,page_number,Sheet Number,subject,Scaled Length,x1,y1,x2,y2,NM,ScaleFactor,author,modified_date,xref,Type,AISC_Manual_Label,W,PB
873,4,,"('W10X54',)",0.8266601562,17.7633327908,34.0099995931,17.6600002713,34.0099995931,fitz-A473,96,"('W10X54',)",,2843,,,,
874,4,,"('W10X54',)",0.8474757419000001,16.3866661919,22.0433332655,16.3433329264,21.9466671414,fitz-A474,96,"('W10X54',)",,2845,,,,
875,4,,"('W10X54',)",0.8474757419000001,16.2900000678,22.086666531,16.2466668023,21.9900004069,fitz-A475,96,"('W10X54',)",,2847,,,,
876,4,,"('W10X54',)",0.8123588197,16.2699991862,22.0366668701,16.3633338081,21.9966668023,fitz-A476,96,"('W10X54',)",,2849,,,,
877,4,,"('W10X54',)",0.8474757419000001,15.2633327908,19.5333336724,15.2199995253,19.4366675483,fitz-A477,96,"('W10X54',)",,2851,,,,
878,4,,"('W10X54',)",0.8474757419000001,15.1666666667,19.5766669379,15.1233334012,19.4800008138,fitz-A478,96,"('W10X54',)",,2853,,,,
879,4,,"('W10X54',)",0.8474881186000001,15.146665785,19.526667277,15.2433336046,19.4833340115,fitz-A479,96,"('W10X54',)",,2855,,,,
880,4,,"('W10X54',)",0.8232182904,14.0400000678,16.7933332655,13.996665954600001,16.7000003391,fitz-A480,96,"('W10X54',)",,2857,,,,
881,4,,"('W10X54',)",0.8474757419000001,13.943333096,16.836666531,13.8999998305,16.7400004069,fitz-A481,96,"('W10X54',)",,2859,,,,
882,4,,"('W10X54',)",0.8474757419000001,13.9199998644,16.7900000678,14.0166659885,16.7466668023,fitz-A482,96,"('W10X54',)",,2861,,,,
883,4,,"('W10X54',)",0.8474881186000001,12.7199995253,13.8466678196,12.6766662598,13.75,fitz-A483,96,"('W10X54',)",,2863,,,,
884,4,,"('W10X54',)",0.8369343205,12.6233334012,13.8900010851,12.5833333333,13.7933332655,fitz-A484,96,"('W10X54',)",,2865,,,,
885,4,,"('W10X54',)",0.8474812902000001,12.6033333672,13.8400014242,12.6999994914,13.7966664632,fitz-A485,96,"('W10X54',)",,2867,,,,
886,4,,"('W10X68',)",0.8474757419000001,20.2099999322,20.3333333333,20.1666666667,20.2366672092,fitz-A486,96,"('W10X68',)",,2869,,,,
887,4,,"('W10X68',)",0.8369217877,20.1099989149,20.3766665988,20.0699988471,20.2800004747,fitz-A487,96,"('W10X68',)",,2871,,,,
888,4,,"('W10X68',)",0.8718765515,20.0899997287,20.3300001356,20.1899990506,20.2866668701,fitz-A488,96,"('W10X68',)",,2873,,,,
889,4,,"('W10X68',)",0.8474757419000001,17.8633321126,15.0833333333,17.8199988471,14.9866672092,fitz-A489,96,"('W10X68',)",,2875,,,,
890,4,,"('W10X68',)",0.8474757419000001,17.7633327908,15.1299997965,17.7199995253,15.0333336724,fitz-A490,96,"('W10X68',)",,2877,,,,
891,4,,"('W10X68',)",0.8718765515,17.7433336046,15.0800001356,17.8433329264,15.0366668701,fitz-A491,96,"('W10X68',)",,2879,,,,
892,4,,"('W10X68',)",0.8474757419000001,16.5466664632,12.1366678874,16.5033331977,12.0400017632,fitz-A492,96,"('W10X68',)",,2881,,,,
893,4,,"('W10X68',)",0.8474812902000001,16.4466671414,12.1799994575,16.4033321804,12.0833333333,fitz-A493,96,"('W10X68',)",,2883,,,,
894,4,,"('W10X68',)",0.8828238836000001,16.4233330621,12.1333346897,16.5233323839,12.086666531,fitz-A494,96,"('W10X68',)",,2885,,,,
895,4,,"('W10X54',)",0.8232154345,23.0933329264,18.9300011529,23.1366661919,19.0233340793,fitz-A495,96,"('W10X54',)",,2887,,,,
896,4,,"('W10X54',)",0.8232154345,23.1899990506,18.8866678874,23.2333323161,18.9800008138,fitz-A496,96,"('W10X54',)",,2889,,,,
897,4,,"('W10X54',)",0.8232277366,23.2099999322,18.9333343506,23.1166653103,18.9766676161,fitz-A497,96,"('W10X54',)",,2891,,,,
898,4,,"('W10X54',)",0.8232277366,21.9699995253,16.4199998644,22.0133327908,16.5133344862,fitz-A498,96,"('W10X54',)",,2893,,,,
899,4,,"('W10X54',)",0.8232277366,22.0666656494,16.3766665988,22.1099989149,16.4700012207,fitz-A499,96,"('W10X54',)",,2895,,,,
900,4,,"('W10X54',)",0.8474812902000001,22.0899997287,16.4233330621,21.9933336046,16.466668023,fitz-A500,96,"('W10X54',)",,2897,,,,
901,4,,"('W10X54',)",0.8474757419000001,20.7466668023,13.680001152900001,20.7900000678,13.776667277,fitz-A501,96,"('W10X54',)",,2899,,,,
902,4,,"('W10X54',)",0.8474757419000001,20.8433329264,13.6366678874,20.8866661919,13.7333340115,fitz-A502,96,"('W10X54',)",,2901,,,,
903,4,,"('W10X54',)",0.8474757419000001,20.8633321126,13.6833343506,20.7666659885,13.7266676161,fitz-A503,96,"('W10X54',)",,2903,,,,
904,4,,"('W10X54',)",0.8266601562,19.7133331299,11.1699998644,19.7133331299,11.0666673448,fitz-A504,96,"('W10X54',)",,2905,,,,
905,4,,"('W10X54',)",0.8266601562,19.6066657172,11.1699998644,19.6066657172,11.0666673448,fitz-A505,96,"('W10X54',)",,2907,,,,
906,4,,"('W10X54',)",0.8533393012,19.6066657172,11.1200018989,19.7133331299,11.1200018989,fitz-A506,96,"('W10X54',)",,2909,,,,
907,4,,"('W10X54',)",0.8474757419000001,21.3066660563,22.7866668701,21.2099999322,22.8300001356,fitz-A507,96,"('W10X54',)",,2911,,,,
908,4,,"('W10X54',)",0.8232154345,21.3466661241,22.8833329942,21.2533331977,22.9266662598,fitz-A508,96,"('W10X54',)",,2913,,,,
909,4,,"('W10X54',)",0.8474757419000001,21.2999996609,22.9033338759,21.2566663954,22.8066677517,fitz-A509,96,"('W10X54',)",,2915,,,,
